"wm_freq2","comb_freq2","beat","signal"
13115.65277834,13115.65185257,-60.83309772,0.22167764081613
13115.65277671,13115.65185258,-60.83233061,0.216319659828461
13115.65281698,13115.65189192,-60.83200698,0.228959114470294
13115.65281684,13115.65189191,-60.83254315,0.286461896933298
13115.65281847,13115.6518919,-60.83246646,0.285688789459895
13115.65285539,13115.65193124,-60.83131396,0.367307126213024
13115.65285431,13115.65193131,-60.83136094,0.27764091904817
13115.65285691,13115.65193124,-60.83213285,0.23783455959883
13115.65289577,13115.65197058,-60.83303449,0.407747541757033
13115.6528944,13115.65197057,-60.83223828,0.401869534014674
13115.65289587,13115.65197056,-60.83345842,0.32726697292313
13115.65292064,13115.65199675,-60.83382928,0.639406219973778
13115.65292081,13115.65199677,-60.83367711,0.625942231479624
13115.6529199,13115.65199677,-60.83309579,0.546308503585613
13115.6529601,13115.65203612,-60.83388084,0.835900726523379
13115.65296142,13115.65203609,-60.83391315,0.672373276184322
13115.6529611,13115.65203608,-60.83456751,0.61536450897955
13115.65300019,13115.65207543,-60.83438284,0.782978867886698
13115.65299822,13115.65207543,-60.83422157,0.606417040585304
13115.65300159,13115.65207542,-60.83451255,0.580445064044897
13115.65303889,13115.65211478,-60.83321946,0.680792316370696
13115.65303813,13115.65211479,-60.83333599,0.497151953944717
13115.65303811,13115.65211478,-60.83329686,0.684261041874735
13115.6530779,13115.65215406,-60.83472909,0.513825784735989
13115.65307891,13115.65215409,-60.83496906,0.42008465629702
13115.65307908,13115.65215409,-60.83474522,0.434526000206968
13115.65311653,13115.65219344,-60.83407793,0.43467012439354
13115.65311613,13115.65219346,-60.83356657,0.292368434900053
13115.65311748,13115.65219345,-60.83378355,0.328654585267758
13115.65315798,13115.65223283,-60.83366517,0.169944590386509
13115.65315794,13115.65223279,-60.83372211,0.222791181122696
13115.65315706,13115.65223276,-60.8342215,0.309860734299007
13115.65318174,13115.65225904,-60.83431062,0.187491639844562
13115.65318248,13115.65225897,-60.834003,0.179736666986103
13115.65318247,13115.652259,-60.83447141,0.363678930196298
13115.65322168,13115.65229836,-60.83389423,0.193509841946201
13115.65322066,13115.65229835,-60.83353929,0.17574387248879
13115.65322354,13115.65229834,-60.83410835,0.231382828650293
13115.65326146,13115.65233765,-60.83510566,0.161033905310768
13115.6532623,13115.65233764,-60.83509509,0.160003115206884
13115.65326117,13115.65233765,-60.83525963,0.124947738803383
13115.65330011,13115.65237702,-60.83338877,0.0985578222407586
13115.65330207,13115.65237702,-60.83485321,0.0669483528419264
13115.65329916,13115.652377,-60.83476962,0.0834674101648065
13115.65334142,13115.65241632,-60.83545631,0.134516974116408
13115.65333997,13115.65241631,-60.83522053,0.171718341678113
13115.65334244,13115.65241632,-60.83491307,0.177424127177299
13115.65337929,13115.65245563,-60.83568637,0.107029041723384
13115.65337894,13115.65245562,-60.83598576,0.0849521055491397
13115.65337742,13115.65245565,-60.83545479,0.104027848092017
13115.65341685,13115.65249495,-60.83589753,0.088190368439854
13115.65341737,13115.65249496,-60.83625627,0.118580556240997
13115.65341979,13115.65249495,-60.83600629,0.0897834009025792
13115.65345611,13115.65253434,-60.83585838,0.0743970907259956
13115.65345867,13115.65253427,-60.83614533,0.122267841869373
13115.65345627,13115.65253431,-60.83556446,0.0602560013507845
13115.65348552,13115.65256055,-60.83510218,0.118102646581623
13115.65348526,13115.65256055,-60.83566223,0.112296288724709
13115.6534863,13115.65256053,-60.83569013,0.0899915598046434
13115.65352331,13115.65259983,-60.83660251,0.122928776179371
13115.6535227,13115.65259987,-60.83619457,0.079083944519638
13115.65352404,13115.65259987,-60.83572387,0.108394173199732
13115.65356369,13115.65263922,-60.83528336,0.114249134243824
13115.65356081,13115.65263924,-60.83513327,0.0945966445118324
13115.65356367,13115.6526392,-60.83557927,0.0913946316811053
13115.6536012,13115.65267852,-60.83598007,0.113644881441371
13115.65360101,13115.65267855,-60.83644412,0.129051093183306
13115.6536019,13115.65267853,-60.83644716,0.0612524849581257
13115.65364061,13115.65271792,-60.83558912,0.0839160982504746
13115.65363979,13115.65271788,-60.83609972,0.105912994406664
13115.65364156,13115.65271785,-60.83597785,0.165296619182331
13115.65368014,13115.65275732,-60.83409091,0.127636411762479
13115.65368178,13115.65275716,-60.83579832,0.0972629440487783
13115.65368329,13115.65275724,-60.83551163,0.0804853399584303
13115.65371954,13115.65279654,-60.83602792,0.101604510867202
13115.65371972,13115.65279654,-60.83597035,0.153538865691921
13115.6537194,13115.6527966,-60.83485365,0.148546882963622
13115.65376035,13115.65283592,-60.83594533,0.153511593639855
13115.65375992,13115.65283588,-60.83586251,0.151678874283794
13115.65376099,13115.65283592,-60.83605206,0.0970017417134769
13115.6537881,13115.65286214,-60.8351978,0.124372645212189
13115.65378614,13115.65286216,-60.83489407,0.108499118078693
13115.65378444,13115.65286217,-60.83491719,0.161511248147123
13115.6538249,13115.65290147,-60.83528,0.0716497156365786
13115.65382321,13115.65290147,-60.83498324,0.202482101399814
13115.65382433,13115.65290145,-60.83588097,0.149921574960826
13115.65386421,13115.6529408,-60.83555915,0.168515972944495
13115.65386199,13115.65294077,-60.83609739,0.124441512818838
13115.65386483,13115.65294084,-60.83526958,0.192489107489237
13115.65390286,13115.65298014,-60.83499702,0.27712744372689
13115.65390417,13115.65298017,-60.83469314,0.175685331626966
13115.65390441,13115.65298019,-60.83455198,0.142401813993501
13115.65394219,13115.65301951,-60.83496632,0.336475003941063
13115.65394432,13115.6530195,-60.83506683,0.349671450579667
13115.65394238,13115.65301947,-60.8355473,0.223021977792194
13115.65398338,13115.65305882,-60.83533852,0.514146502296721
13115.65398376,13115.65305884,-60.83501093,0.379408058669006
13115.65398119,13115.65305887,-60.83437045,0.464880807447486
13115.65401937,13115.65309818,-60.83467146,0.55599108463496
13115.65402178,13115.65309818,-60.83504827,0.783619737773995
13115.65402159,13115.65309819,-60.83459373,0.450151105533593
13115.65406197,13115.65313752,-60.83427991,1
13115.65406196,13115.65313756,-60.83433108,0.748024183997872
13115.65406265,13115.65313751,-60.83466065,0.510206745671662
13115.65408622,13115.65316377,-60.83371316,0.713038032096944
13115.65408583,13115.65316374,-60.83445099,0.703021278093466
13115.65408548,13115.65316375,-60.83438502,0.9067363244254
13115.65412632,13115.6532031,-60.83402935,0.778719391698691
13115.65412762,13115.65320311,-60.83379748,0.673008834737345
13115.65412546,13115.65320314,-60.8329837,0.73915503350451
13115.65416836,13115.6532425,-60.83249262,0.56102560927793
13115.65416506,13115.65324245,-60.83262995,0.622935396628548
13115.65416474,13115.65324252,-60.83234563,0.385499807745607
13115.65420622,13115.6532818,-60.83308817,0.338854798274327
13115.65420517,13115.65328176,-60.83395276,0.404542643967937
13115.65420407,13115.65328179,-60.83388132,0.334834940659011
13115.65424459,13115.65332113,-60.83400457,0.194367685290313
13115.65424263,13115.65332109,-60.83447702,0.262879687355548
13115.65424566,13115.65332111,-60.83410731,0.317630412778935
13115.65428275,13115.65336049,-60.83305266,0.168415779925229
13115.65428425,13115.65336043,-60.83425115,0.287239441276448
13115.6542831,13115.65336046,-60.83384698,0.137845478647892
13115.65432228,13115.65339977,-60.83430366,0.123932245175377
13115.65432294,13115.65339974,-60.83441718,0.171446764535207
13115.65432381,13115.6533998,-60.8344689,0.123020269835669
13115.65436173,13115.6534391,-60.83418541,0.093045166293533
13115.65436319,13115.65343912,-60.83475519,0.157952128273897
13115.65435914,13115.65343911,-60.83370989,0.0903496932456592
13115.65439114,13115.65346537,-60.83355898,0.1602857005136
13115.65438756,13115.65346537,-60.83354962,0.155982899106791
13115.65438835,13115.65346538,-60.83347887,0.091956219432843
13115.65442677,13115.65350465,-60.83421751,0.0846258478594185
13115.65442828,13115.65350467,-60.83438593,0.103937797312117
13115.65442873,13115.65350471,-60.83451809,0.0490828596692356
13115.65446629,13115.65354402,-60.83453595,0.114629633758548
13115.65447014,13115.65354401,-60.83427445,0.0835380630455008
13115.65446708,13115.65354402,-60.83402493,0.12221852985551
13115.65450477,13115.6535833,-60.83531614,0.124588538050907
13115.6545064,13115.65358337,-60.83434175,0.0796562206786819
13115.65450497,13115.65358332,-60.83517246,0.0989554599096586
13115.65454391,13115.6536227,-60.83500912,0.0817693490111674
13115.65454527,13115.65362265,-60.83540397,0.0828913304922201
13115.65454608,13115.65362266,-60.83533947,0.0918608710225191
