"time_ns","signal"
-511.91043814433,47.2479838709678
-511.91043814433,17.1270161290323
-511.108247422681,-0.443548387096712
-511.509342783505,-7.97379032258061
-509.503865979382,-0.443548387096712
-507.899484536083,-0.443548387096712
-507.097293814433,27.1673387096774
-506.295103092784,-0.443548387096712
-505.894007731959,27.1673387096774
-504.690721649485,-1.69858870967732
-503.48743556701,205.383064516129
-503.48743556701,195.342741935484
-503.48743556701,185.302419354839
-503.48743556701,175.262096774194
-503.48743556701,165.221774193548
-503.48743556701,155.181451612903
-503.48743556701,145.141129032258
-503.48743556701,135.100806451613
-503.48743556701,125.060483870968
-503.48743556701,115.020161290323
-503.48743556701,104.979838709677
-503.48743556701,94.9395161290323
-503.48743556701,84.8991935483872
-502.685244845361,74.858870967742
-502.685244845361,64.8185483870968
-502.685244845361,54.7782258064517
-502.685244845361,44.7379032258065
-502.685244845361,34.6975806451613
-502.685244845361,24.6572580645162
-502.685244845361,14.6169354838711
-502.685244845361,4.57661290322585
-502.685244845361,-5.46370967741927
-502.685244845361,-15.5040322580644
-502.685244845361,-25.5443548387096
-502.685244845361,-35.5846774193549
-502.685244845361,-45.625
-502.685244845361,-55.6653225806451
-502.685244845361,-65.7056451612902
-502.685244845361,-75.7459677419354
-502.685244845361,-85.7862903225805
-502.685244845361,-95.8266129032256
-502.685244845361,-105.866935483871
-502.685244845361,-115.907258064516
-502.685244845361,-125.947580645161
-502.685244845361,-135.987903225806
-502.685244845361,-146.028225806451
-502.685244845361,-153.558467741935
-501.883054123712,-161.088709677419
-501.883054123712,-171.129032258064
-501.883054123712,-181.16935483871
-501.883054123712,-191.209677419355
-501.883054123712,-201.25
-501.883054123712,-211.290322580645
-501.883054123712,-221.33064516129
-501.883054123712,-231.370967741935
-501.883054123712,-241.41129032258
-501.883054123712,-251.451612903226
-501.883054123712,-261.491935483871
-501.883054123712,-271.532258064516
-501.883054123712,-281.572580645161
-501.883054123712,-291.612903225806
-501.883054123712,-301.653225806451
-501.883054123712,-311.693548387097
-501.883054123712,-321.733870967742
-501.883054123712,-331.774193548387
-501.883054123712,-341.814516129032
-501.883054123712,-351.854838709677
-501.883054123712,-361.895161290322
-501.883054123712,-369.425403225806
-501.080863402062,-376.95564516129
-501.080863402062,-386.995967741935
-501.080863402062,-397.03629032258
-501.080863402062,-407.076612903226
-501.080863402062,-417.116935483871
-501.080863402062,-427.157258064516
-501.080863402062,-437.197580645161
-501.080863402062,-447.237903225806
-501.080863402062,-457.278225806451
-501.080863402062,-467.318548387097
-501.080863402062,-477.358870967742
-501.080863402062,-487.399193548387
-501.080863402062,-494.929435483871
-497.872100515464,-457.278225806451
-497.872100515464,-467.318548387097
-497.872100515464,-477.358870967742
-497.872100515464,-487.399193548387
-497.872100515464,-497.439516129032
-497.069909793815,-351.854838709677
-497.069909793815,-361.895161290322
-497.069909793815,-371.935483870968
-497.069909793815,-381.975806451613
-497.069909793815,-392.016129032258
-497.069909793815,-402.056451612903
-497.069909793815,-412.096774193548
-497.069909793815,-422.137096774193
-497.069909793815,-432.177419354839
-497.069909793815,-442.217741935484
-497.069909793815,-449.747983870968
-496.267719072165,-271.532258064516
-496.267719072165,-281.572580645161
-496.267719072165,-291.612903225806
-496.267719072165,-301.653225806451
-496.267719072165,-311.693548387097
-496.267719072165,-321.733870967742
-496.267719072165,-331.774193548387
-496.267719072165,-341.814516129032
-495.465528350516,-141.008064516129
-495.465528350516,-151.048387096774
-495.465528350516,-161.088709677419
-495.465528350516,-171.129032258064
-495.465528350516,-181.16935483871
