"time_ns","signal"
-503.48743556701,235.504032258065
-503.48743556701,225.463709677419
-503.48743556701,215.423387096774
-502.685244845361,170.241935483871
-502.685244845361,160.201612903226
-502.685244845361,150.161290322581
-502.685244845361,140.120967741935
-502.685244845361,130.08064516129
-502.685244845361,120.040322580645
-502.685244845361,110
-502.685244845361,99.9596774193549
-502.685244845361,89.9193548387098
-502.685244845361,82.3891129032259
-501.883054123712,34.6975806451613
-501.883054123712,24.6572580645162
-501.883054123712,14.6169354838711
-501.883054123712,4.57661290322585
-501.883054123712,-5.46370967741927
-501.883054123712,-15.5040322580644
-501.883054123712,-25.5443548387096
-501.883054123712,-35.5846774193549
-501.883054123712,-45.625
-501.883054123712,-55.6653225806451
-501.883054123712,-65.7056451612902
-501.883054123712,-75.7459677419354
-501.883054123712,-83.2762096774193
-501.080863402062,-90.8064516129032
-501.080863402062,-100.846774193548
-501.080863402062,-110.887096774193
-501.080863402062,-120.927419354839
-501.080863402062,-130.967741935484
-501.080863402062,-141.008064516129
-501.080863402062,-151.048387096774
-501.080863402062,-161.088709677419
-501.080863402062,-171.129032258064
-501.080863402062,-181.16935483871
-501.080863402062,-191.209677419355
-500.278672680413,-201.25
-500.278672680413,-211.290322580645
-500.278672680413,-221.33064516129
-500.278672680413,-231.370967741935
-500.278672680413,-241.41129032258
-500.278672680413,-251.451612903226
-500.278672680413,-258.98185483871
-499.476481958763,-266.512096774193
-499.476481958763,-276.552419354839
-499.476481958763,-286.592741935484
-498.674291237114,-296.633064516129
-498.674291237114,-306.673387096774
-498.674291237114,-316.713709677419
-497.471005154639,-325.498991935484
-497.872100515464,-334.284274193548
-497.069909793815,-296.633064516129
-497.069909793815,-306.673387096774
-497.069909793815,-316.713709677419
-496.267719072165,-246.431451612903
-496.267719072165,-256.471774193548
-496.267719072165,-264.002016129032
-494.663337628866,-141.008064516129
-494.663337628866,-151.048387096774
-494.663337628866,-161.088709677419
-494.663337628866,-171.129032258064
-494.663337628866,-181.16935483871
-494.663337628866,-191.209677419355
-494.663337628866,-198.739919354839
-493.861146907217,-5.46370967741927
-493.861146907217,-15.5040322580644
-493.861146907217,-25.5443548387096
-493.861146907217,-35.5846774193549
-493.861146907217,-45.625
-493.861146907217,-55.6653225806451
-493.861146907217,-65.7056451612902
-493.861146907217,-75.7459677419354
-493.861146907217,-85.7862903225805
-493.861146907217,-95.8266129032256
-493.861146907217,-105.866935483871
-493.861146907217,-115.907258064516
-493.058956185567,110
-493.058956185567,99.9596774193549
-493.058956185567,89.9193548387098
-493.058956185567,79.8790322580646
-493.058956185567,69.8387096774194
-493.058956185567,59.7983870967743
-493.058956185567,49.7580645161291
-493.058956185567,39.7177419354839
-493.058956185567,29.6774193548388
-493.058956185567,19.6370967741937
-493.058956185567,9.59677419354841
-493.058956185567,2.06653225806463
-492.256765463918,190.322580645161
-492.256765463918,180.282258064516
-492.256765463918,170.241935483871
